Entity,Label,Count
"('Ulcerative colitis', 'DISEASE')",1
"('Digoxin', 'CHEMICAL')",9
"('Tylenol', 'CHEMICAL')",11
"('Fosamax', 'CHEMICAL')",5
"('Isosorbide Dinitrate', 'CHEMICAL')",1
"('Furosemide', 'CHEMICAL')",22
"('Miconazole', 'CHEMICAL')",1
"('cream', 'CHEMICAL')",1
"('sore', 'DISEASE')",1
"('Methotrexate', 'CHEMICAL')",1
"('rheumatoid arthritis', 'DISEASE')",1
"('spondylitis', 'DISEASE')",8
"('Florinef', 'CHEMICAL')",1
"('vancomycin', 'CHEMICAL')",28
"('left hip dislocation', 'DISEASE')",1
"('Hypotensive', 'DISEASE')",3
"('norepinephrine', 'CHEMICAL')",2
"('PH', 'CHEMICAL')",1
"('CO2', 'CHEMICAL')",40
"('hydrocortisone', 'CHEMICAL')",3
"('florinef', 'CHEMICAL')",2
"('acute bleed', 'DISEASE')",1
"('vecuronium', 'CHEMICAL')",2
"('hepatic failure', 'DISEASE')",1
"('VAP', 'DISEASE')",1
"('necrosis', 'DISEASE')",3
"('ulcer', 'DISEASE')",15
"('GIB bleed', 'DISEASE')",1
"('Psychiatric disorder', 'DISEASE')",1
"('anxiety', 'DISEASE')",27
"('bipolar', 'DISEASE')",1
"('chronic pain', 'DISEASE')",1
"(""Crohn's disease"", 'DISEASE')",2
"('alcoholism', 'DISEASE')",1
"('iron-deficiency anemia', 'DISEASE')",1
"('Distal ileum resection [**2-/2160**]\nCCY [**2156**]\nR hip replacement [**2153**] c/b osteomyelitis', 'DISEASE')",1
"('L hip replacement [**2156**] also c/b', 'CHEMICAL')",1
"('osteomyelitis', 'DISEASE')",4
"('colitis', 'DISEASE')",9
"('stomach pain', 'DISEASE')",1
"('O2', 'CHEMICAL')",33
"('FiO2', 'CHEMICAL')",19
"('MMM', 'DISEASE')",2
"('organomegaly', 'DISEASE')",11
"('GU', 'CHEMICAL')",4
"('clubbing', 'DISEASE')",16
"('cyanosis', 'DISEASE')",24
"('chronic ulceration', 'DISEASE')",1
"('lymphadenopathy', 'DISEASE')",18
"('serous', 'DISEASE')",2
"('erythema', 'DISEASE')",24
"('swelling', 'DISEASE')",22
"('tinea corporis', 'DISEASE')",2
"('HCO3', 'CHEMICAL')",22
"('Lipase-10', 'CHEMICAL')",1
"('pO2', 'CHEMICAL')",6
"('pH-7.35', 'CHEMICAL')",1
"('Hct-28.7', 'CHEMICAL')",3
"('PT-21.7', 'DISEASE')",1
"('Na-140', 'CHEMICAL')",13
"('pH-5.5', 'CHEMICAL')",2
"('UCG-NEGATIVE\n[**2160-12-6**] 11:25PM', 'CHEMICAL')",1
"('COAG', 'DISEASE')",4
"('NO', 'CHEMICAL')",40
"('C.difficile', 'DISEASE')",2
"('Right pleural effusion', 'DISEASE')",2
"('atelectasis', 'DISEASE')",24
"('splenomegaly', 'DISEASE')",7
"('Small stones', 'DISEASE')",1
"('opacification', 'DISEASE')",5
"('lower pole renal calculus', 'DISEASE')",1
"('fracture', 'DISEASE')",60
"('traumatic dislocation', 'DISEASE')",1
"('intracranial hemorrhage', 'DISEASE')",3
"('infarction', 'DISEASE')",14
"('CSPINE', 'CHEMICAL')",1
"('anterior subluxation', 'DISEASE')",1
"('encroachment', 'DISEASE')",2
"('subluxation', 'DISEASE')",3
"('T3', 'CHEMICAL')",1
"('ankylosis', 'DISEASE')",1
"('spondyloarthropathy', 'DISEASE')",1
"('Anterior subluxation', 'DISEASE')",1
"('thrombus', 'DISEASE')",10
"('liver disease', 'DISEASE')",11
"('multiple infections', 'DISEASE')",1
"('ankylosis spondylitis', 'DISEASE')",1
"('primary metabolic acidosis', 'DISEASE')",2
"('sepsis', 'DISEASE')",21
"('respiratory acidosis', 'DISEASE')",2
"('hyperventilation', 'DISEASE')",1
"('acidosis', 'DISEASE')",2
"('piperacillin/tazobactam', 'CHEMICAL')",1
"('pneumonia', 'DISEASE')",47
"('Respiratory failure', 'DISEASE')",4
"('Hypotension', 'DISEASE')",5
"('Pt', 'CHEMICAL')",50
"('hypotension', 'DISEASE')",60
"('captopril', 'CHEMICAL')",7
"('hypertensive', 'DISEASE')",9
"('cocaine', 'CHEMICAL')",5
"('suicide ideation', 'DISEASE')",1
"('ideation', 'DISEASE')",4
"('depression', 'DISEASE')",23
"('psychiatric', 'DISEASE')",4
"('seroquel', 'CHEMICAL')",2
"('Rhabdomyolysis', 'DISEASE')",1
"('Creatinine', 'CHEMICAL')",6
"('phosphate', 'CHEMICAL')",1
"('Transaminitis', 'DISEASE')",2
"('toxic ingestions', 'DISEASE')",1
"('EtOH', 'CHEMICAL')",13
"('APAP', 'CHEMICAL')",2
"('dislocation', 'DISEASE')",3
"('upper extremity DVT', 'DISEASE')",3
"('heparin', 'CHEMICAL')",55
"('lovenox', 'CHEMICAL')",3
"('coumadin', 'CHEMICAL')",48
"('warfarin', 'CHEMICAL')",20
"('syncope', 'DISEASE')",16
"('Diarrhea', 'DISEASE')",4
"('diarrhea', 'DISEASE')",42
"('flagyl', 'CHEMICAL')",16
"('Tinea corporis', 'DISEASE')",2
"('clotrimazole cream', 'CHEMICAL')",1
"('Pain', 'DISEASE')",12
"('dilaudid', 'CHEMICAL')",15
"('levophed', 'CHEMICAL')",5
"('lidoderm', 'CHEMICAL')",1
"('ibuprofen', 'CHEMICAL')",5
"('oxycodone', 'CHEMICAL')",13
"('clonazepam', 'CHEMICAL')",1
"('tizanidine', 'CHEMICAL')",2
"('qhs', 'CHEMICAL')",19
"('ranitidine', 'CHEMICAL')",1
"('trazodone', 'CHEMICAL')",1
"('gabapentin', 'CHEMICAL')",7
"('fentanyl', 'CHEMICAL')",4
"('ketoconazole', 'CHEMICAL')",2
"('tramadol', 'CHEMICAL')",7
"('lidocaine', 'CHEMICAL')",2
"('clotrimazole', 'CHEMICAL')",3
"('Q8H', 'CHEMICAL')",14
"('ondansetron', 'CHEMICAL')",3
"('nausea', 'DISEASE')",26
"('Q6H', 'CHEMICAL')",59
"('quetiapine', 'CHEMICAL')",2
"('ranitidine HCl', 'CHEMICAL')",1
"('loperamide', 'CHEMICAL')",2
"('Overdose', 'DISEASE')",1
"('Pneumonia', 'DISEASE')",5
"('[**Hospital1 **] Condition', 'CHEMICAL')",2
"('thinners', 'CHEMICAL')",2
"('Allergies', 'DISEASE')",36
"('DVT', 'DISEASE')",34
"('CHF', 'DISEASE')",45
"('HTN', 'DISEASE')",40
"('dyspnea', 'DISEASE')",29
"('CP', 'CHEMICAL')",12
"('dizziness', 'DISEASE')",17
"('chest pain', 'DISEASE')",92
"('SOB', 'DISEASE')",15
"('palpitations', 'DISEASE')",15
"('convulsive', 'DISEASE')",1
"('DM', 'CHEMICAL')",9
"('OSA', 'DISEASE')",8
"('GI bleed', 'DISEASE')",11
"('gastritis', 'DISEASE')",9
"('angina', 'DISEASE')",5
"('low back pain', 'DISEASE')",3
"('EtoH', 'CHEMICAL')",3
"('NAD', 'CHEMICAL')",29
"('OP', 'CHEMICAL')",17
"('MCH-31.6', 'DISEASE')",1
"('Amylase-39', 'CHEMICAL')",1
"('VitB12', 'CHEMICAL')",3
"('O2 sats', 'CHEMICAL')",5
"('O2\n', 'CHEMICAL')",1
"('ceftriaxone', 'CHEMICAL')",14
"('nitro', 'CHEMICAL')",4
"('hydralazine', 'CHEMICAL')",7
"('lasix', 'CHEMICAL')",45
"('SA dysfunction', 'DISEASE')",1
"('azithromycin', 'CHEMICAL')",16
"('levaquin', 'CHEMICAL')",5
"('orthopnea', 'DISEASE')",7
"('cough', 'DISEASE')",42
"('O2 sat', 'CHEMICAL')",5
"('ischemia', 'DISEASE')",17
"('depressions', 'DISEASE')",6
"('Coumadin', 'CHEMICAL')",8
"('Anemia', 'DISEASE')",35
"('iron', 'CHEMICAL')",50
"('ferrous gluconate', 'CHEMICAL')",1
"('Fall', 'CHEMICAL')",2
"('pulmonary arterial hypertension', 'DISEASE')",1
"('PE', 'CHEMICAL')",23
"('neurontin', 'CHEMICAL')",1
"('lisinopril', 'CHEMICAL')",29
"('Timolol', 'CHEMICAL')",1
"('Fluoxetine', 'CHEMICAL')",2
"('Atenolol', 'CHEMICAL')",7
"('Gabapentin', 'CHEMICAL')",2
"('Pantoprazole Sodium', 'CHEMICAL')",6
"('Timolol Maleate', 'CHEMICAL')",1
"('Fluoxetine HCl', 'CHEMICAL')",1
"('QD', 'CHEMICAL')",5
"('Disp:*6 Tablet(s', 'CHEMICAL')",1
"('Clindamycin HCl', 'CHEMICAL')",1
"('Tablet(s', 'CHEMICAL')",40
"('Warfarin Sodium', 'CHEMICAL')",3
"('Metoprolol Tartrate', 'CHEMICAL')",19
"('Ferrous Gluconate', 'CHEMICAL')",2
"('Sodium', 'CHEMICAL')",29
"('Q12H', 'CHEMICAL')",28
"('Discontinue', 'CHEMICAL')",1
"('Shortness of breath', 'DISEASE')",5
"('Weight gain', 'DISEASE')",1
"('Fever', 'DISEASE')",5
"('Chills', 'DISEASE')",1
"('Codeine', 'CHEMICAL')",5
"('Remicade', 'CHEMICAL')",1
"('Vancomycin', 'CHEMICAL')",22
"('abscess', 'DISEASE')",20
"('intra-abdominal abscess', 'DISEASE')",1
"('remicade', 'CHEMICAL')",1
"('steroid', 'CHEMICAL')",15
"('epigastric pain', 'DISEASE')",1
"('cipro', 'CHEMICAL')",8
"('prednisone', 'CHEMICAL')",38
"('emesis', 'DISEASE')",16
"('abdominal pain', 'DISEASE')",45
"('bandemia', 'DISEASE')",1
"('peritonitis', 'DISEASE')",2
"('Dilaudid', 'CHEMICAL')",3
"('Morphine', 'CHEMICAL')",13
"('Zofran', 'CHEMICAL')",3
"('tylenol', 'CHEMICAL')",8
"('Abx', 'CHEMICAL')",1
"('Cipro', 'CHEMICAL')",6
"('Vanc', 'CHEMICAL')",3
"('NG', 'CHEMICAL')",14
"('abdominal bloating', 'DISEASE')",1
"('Denies chills', 'DISEASE')",1
"('sweats', 'DISEASE')",8
"('weight loss', 'DISEASE')",14
"('Denies headache', 'DISEASE')",4
"('sinus tenderness', 'DISEASE')",5
"('rhinorrhea', 'DISEASE')",6
"('congestion', 'DISEASE')",6
"('shortness of breath', 'DISEASE')",64
"('tightness', 'DISEASE')",3
"('nausea, vomiting', 'DISEASE')",4
"('constipation', 'DISEASE')",53
"('Denies dysuria', 'DISEASE')",4
"(""Crohn's Disease\nDepression"", 'DISEASE')",1
"('arthritis', 'DISEASE')",4
"('Anorexia', 'DISEASE')",1
"('CAD', 'DISEASE')",54
"('Dry MMM', 'DISEASE')",1
"('hypoactive bowel', 'DISEASE')",1
"('Tenderness', 'DISEASE')",2
"(""Crohn's\nflare."", 'DISEASE')",1
"(""Crohn's flare, largely stable."", 'DISEASE')",1
"('& omental inflamm', 'DISEASE')",1
"('pleural effusion', 'DISEASE')",26
"('right effusion', 'DISEASE')",1
"('abcess', 'DISEASE')",3
"(""Crohn's presenting with a\nsevere flare and intravascular depletion"", 'DISEASE')",1
"(""Crohn's Flare"", 'DISEASE')",1
"('Worsening bowel wall thickening', 'DISEASE')",1
"('Crohns', 'DISEASE')",1
"('Sinus Tachycardia', 'DISEASE')",2
"('intravascular depletion', 'DISEASE')",1
"('crohns', 'DISEASE')",1
"('ABx', 'CHEMICAL')",1
"('febrile', 'DISEASE')",8
"('morphine', 'CHEMICAL')",7
"('fever', 'DISEASE')",53
"('infection', 'DISEASE')",64
"('Ciprofloxacin', 'CHEMICAL')",13
"('Celexa', 'CHEMICAL')",5
"('Prednisone', 'CHEMICAL')",32
"('Ambien', 'CHEMICAL')",7
"('OCP', 'CHEMICAL')",1
"('Vit D 250 mg-200', 'CHEMICAL')",1
"('Acetaminophen', 'CHEMICAL')",31
"('Citalopram', 'CHEMICAL')",3
"('Hydromorphone', 'CHEMICAL')",1
"('Q3H', 'CHEMICAL')",2
"('Iron', 'CHEMICAL')",41
"('Ferrous Sulfate', 'CHEMICAL')",16
"('Pantoprazole', 'CHEMICAL')",19
"('Budesonide', 'CHEMICAL')",1
"('insomnia', 'DISEASE')",10
"(""Crohn's Flare\nFevers\nDehydration"", 'DISEASE')",1
"(""Crohn's dz\n\n\nDischarge Condition:\nStable."", 'DISEASE')",1
"('vomiting', 'DISEASE')",20
"('dehydration', 'DISEASE')",8
"('dry\nmouth', 'DISEASE')",1
"('vomit', 'DISEASE')",6
"('chills', 'DISEASE')",41
"('redness', 'DISEASE')",10
"('NOR', 'CHEMICAL')",1
"('Penicillins', 'CHEMICAL')",6
"('seizure', 'DISEASE')",29
"('hematemesis', 'DISEASE')",9
"('myelitis', 'DISEASE')",2
"('gastric ulcer', 'DISEASE')",2
"('vessel s/p EGD', 'DISEASE')",1
"('lower back pain', 'DISEASE')",1
"('weakness', 'DISEASE')",3
"('numbness', 'DISEASE')",5
"('PCP', 'CHEMICAL')",44
"('hyperreflexia', 'DISEASE')",1
"('glucose', 'CHEMICAL')",18
"('solu-medrol', 'CHEMICAL')",2
"('spasticity', 'DISEASE')",3
"('bacteremia', 'DISEASE')",8
"('septic', 'DISEASE')",6
"('gout', 'DISEASE')",9
"('lymphoma', 'DISEASE')",1
"('traumatic', 'DISEASE')",3
"('x5days', 'DISEASE')",1
"('UGIB', 'DISEASE')",2
"('hypercholesterolemia', 'DISEASE')",5
"('asthma', 'DISEASE')",8
"('stenosis', 'DISEASE')",35
"('eczema', 'DISEASE')",1
"('O2 Sat', 'CHEMICAL')",3
"('apraxia', 'DISEASE')",1
"('Extraocular movements', 'DISEASE')",1
"('nystagmus', 'DISEASE')",3
"('Palate', 'DISEASE')",1
"('fasciculations', 'DISEASE')",1
"('Tri', 'CHEMICAL')",1
"('Ach', 'CHEMICAL')",1
"('cord swelling', 'DISEASE')",1
"('Degenerative disease', 'DISEASE')",1
"('seizures', 'DISEASE')",11
"('Trileptal', 'CHEMICAL')",3
"('neurosarcoid', 'DISEASE')",1
"('granulomas', 'DISEASE')",1
"('malignancy', 'DISEASE')",10
"('varicella', 'DISEASE')",1
"('Etiology of his neurological dysfunction', 'DISEASE')",1
"('TB', 'DISEASE')",9
"('GI - UGIB', 'DISEASE')",1
"('solids', 'CHEMICAL')",2
"('bleed', 'DISEASE')",8
"('arrhythmia', 'DISEASE')",3
"('allopurinol', 'CHEMICAL')",5
"('theophylline', 'CHEMICAL')",2
"('Bactrim', 'CHEMICAL')",10
"('ppx', 'CHEMICAL')",1
"('q24h', 'CHEMICAL')",2
"('zocor', 'CHEMICAL')",2
"('enalapril', 'CHEMICAL')",1
"('bactrim', 'CHEMICAL')",2
"('Allopurinol', 'CHEMICAL')",3
"('Theophylline', 'CHEMICAL')",1
"('Trimethoprim-Sulfamethoxazole', 'CHEMICAL')",5
"('Fluticasone Propionate', 'CHEMICAL')",1
"('Oxcarbazepine', 'CHEMICAL')",1
"('Seizure', 'DISEASE')",3
"('Myelitis', 'DISEASE')",1
"('GI bleed/duodenal ulcer', 'DISEASE')",1
"('CC', 'CHEMICAL')",2
"('Adverse Drug Reactions', 'DISEASE')",8
"('Blood Loss Anemia', 'DISEASE')",1
"('respiratory distress', 'DISEASE')",11
"('blood loss', 'DISEASE')",8
"('wheeze', 'DISEASE')",10
"('COPD', 'DISEASE')",72
"('low blood pressures', 'DISEASE')",1
"('Atrial fibrillation', 'DISEASE')",15
"('Denies fever', 'DISEASE')",5
"('Denies cough', 'DISEASE')",2
"('wheezing', 'DISEASE')",44
"('Denies chest pain', 'DISEASE')",4
"('Denies nausea, vomiting', 'DISEASE')",3
"('arthralgias', 'DISEASE')",1
"('myalgias', 'DISEASE')",7
"('Denies rashes or skin changes', 'DISEASE')",1
"('Right heart failure', 'DISEASE')",1
"('ASA', 'CHEMICAL')",12
"('Hyperlipidemia', 'DISEASE')",17
"('Type 2 Diabetes Mellitus', 'DISEASE')",1
"('Hypothyroidism', 'DISEASE')",15
"('Chronic Kidney Disease Stage II', 'DISEASE')",1
"('Alcohol', 'CHEMICAL')",8
"('lung cancer', 'DISEASE')",1
"('tenderness', 'DISEASE')",24
"('biatrial enlargement', 'DISEASE')",1
"('amiodarone', 'CHEMICAL')",20
"('pericardial abnormality', 'DISEASE')",1
"('pericardial cyst', 'DISEASE')",1
"('pleural effusions', 'DISEASE')",30
"('patent foramen ovale', 'DISEASE')",3
"('ventricular hypertrophy', 'DISEASE')",8
"('valve prolapse', 'DISEASE')",2
"('mitral regurgitation', 'DISEASE')",29
"('tricuspid regurgitation', 'DISEASE')",13
"('pulmonary artery systolic hypertension', 'DISEASE')",6
"('pericardial effusion', 'DISEASE')",24
"('systolic dysfunction', 'DISEASE')",2
"('VQ', 'CHEMICAL')",1
"('cardiomegaly', 'DISEASE')",6
"('pulmonary embolism', 'DISEASE')",11
"('hydronephrosis', 'DISEASE')",9
"('vascular thrombus', 'DISEASE')",1
"('renal disease', 'DISEASE')",1
"('fibrillation', 'DISEASE')",6
"('right pleural effusion', 'DISEASE')",2
"('right basilar atelectasis', 'DISEASE')",1
"('Aorta', 'DISEASE')",1
"('aneurysm', 'DISEASE')",7
"('pulmonary vascular congestion', 'DISEASE')",3
"('chronic diastolic CHF', 'DISEASE')",1
"('atrial fibrillation', 'DISEASE')",18
"('blood loss anemia', 'DISEASE')",1
"('vascular ectasias', 'DISEASE')",1
"('hypoxemia', 'DISEASE')",3
"('secondary pulmonary hypertension', 'DISEASE')",1
"('Etiology of acute', 'DISEASE')",1
"('V/Q', 'CHEMICAL')",2
"('mod-severe', 'DISEASE')",1
"('right ventricular dilatation', 'DISEASE')",1
"('PFO', 'DISEASE')",2
"('hypoxia', 'DISEASE')",18
"('valvular disease', 'DISEASE')",1
"('RA', 'DISEASE')",13
"('Atrial Fibrillation', 'DISEASE')",2
"('aspirin', 'CHEMICAL')",39
"('bleeding', 'DISEASE')",76
"('atenolol', 'CHEMICAL')",5
"('metoprolol', 'CHEMICAL')",36
"('renal failure', 'DISEASE')",3
"('CKD', 'DISEASE')",7
"('uptitrated', 'CHEMICAL')",1
"('uptitration', 'CHEMICAL')",3
"('simvastatin', 'CHEMICAL')",10
"('Diabetes Mellitus', 'DISEASE')",6
"('glipizide', 'CHEMICAL')",11
"('levothyroxine', 'CHEMICAL')",8
"('Acute-on-Chronic renal failure', 'DISEASE')",1
"('Cr', 'CHEMICAL')",9
"('pulmonary hypertension', 'DISEASE')",7
"('Simvastatin 10', 'CHEMICAL')",1
"('Levothyroxine', 'CHEMICAL')",6
"('Glipizide', 'CHEMICAL')",6
"('Loratadine', 'CHEMICAL')",1
"('Ascorbic Acid', 'CHEMICAL')",4
"('simvastatin 10 mg', 'CHEMICAL')",1
"('loratadine', 'CHEMICAL')",1
"('omeprazole', 'CHEMICAL')",5
"('furosemide', 'CHEMICAL')",7
"('ascorbic acid', 'CHEMICAL')",4
"('DX', 'CHEMICAL')",1
"('metoprolol tartrate', 'CHEMICAL')",3
"('Chronic diastolic heart failure', 'DISEASE')",1
"('gastrointestinal bleeding', 'DISEASE')",3
"('anemia', 'DISEASE')",74
"('PCP', 'DISEASE')",3
"('hypothermia', 'DISEASE')",1
"('slurring', 'DISEASE')",1
"('RV\ndysfunction', 'DISEASE')",1
"('pneumothorax', 'DISEASE')",16
"('vasodilators', 'CHEMICAL')",1
"('nitric oxide', 'CHEMICAL')",1
"('Viagra', 'CHEMICAL')",1
"('death', 'DISEASE')",3
"('Cephalosporins', 'CHEMICAL')",1
"('Dysuria', 'DISEASE')",1
"('cystitis', 'DISEASE')",4
"('infections', 'DISEASE')",7
"('UTIs', 'DISEASE')",4
"('dysuria', 'DISEASE')",12
"('ascites', 'DISEASE')",21
"('meropenem', 'CHEMICAL')",3
"('urosepsis', 'DISEASE')",5
"('respiratory\ndistress', 'DISEASE')",2
"('non-rebreather', 'CHEMICAL')",3
"('nitroglycerin', 'CHEMICAL')",15
"('s/p TAH/XRT', 'DISEASE')",1
"('Urinary Retention', 'DISEASE')",1
"('gut syndrome', 'DISEASE')",1
"('enteritis', 'DISEASE')",2
"('Migraine', 'DISEASE')",1
"('Depression', 'DISEASE')",15
"('thrombophlebitis', 'DISEASE')",1
"('radiculopathy', 'DISEASE')",1
"('Takotsubo', 'DISEASE')",1
"('CM', 'DISEASE')",2
"('Hyponatremia', 'DISEASE')",1
"('alcohol', 'CHEMICAL')",31
"('ETOH abuse', 'DISEASE')",2
"('GEN', 'CHEMICAL')",14
"('anicteric', 'DISEASE')",5
"('thyromegaly', 'DISEASE')",4
"('hepatosplenomegaly', 'DISEASE')",4
"('hemolytic', 'DISEASE')",2
"('alpha streptococcus', 'CHEMICAL')",1
"('Ag', 'CHEMICAL')",2
"('vascular congestion', 'DISEASE')",1
"('pyelonephritis', 'DISEASE')",3
"('fullness', 'DISEASE')",2
"('UPJ obstruction', 'DISEASE')",1
"('post-cholecystectomy', 'DISEASE')",1
"('ground-glass', 'DISEASE')",1
"('pneumonitis', 'DISEASE')",4
"('hypersensitivity pneumonitis', 'DISEASE')",2
"('toxicity', 'DISEASE')",3
"('NSIP', 'DISEASE')",2
"('aortic stenosis', 'DISEASE')",18
"('mitral valve prolapse', 'DISEASE')",3
"('mitral\nregurgitation', 'DISEASE')",10
"('pulmonary artery systolic', 'DISEASE')",4
"('pulmonary opacifications', 'DISEASE')",1
"('hemorrhage', 'DISEASE')",13
"('effusion', 'DISEASE')",12
"('volume loss', 'DISEASE')",2
"('small-bowel obstruction', 'DISEASE')",2
"('loop of bowel', 'DISEASE')",1
"('Dilated bowel loop', 'DISEASE')",1
"('left hydronephrosis', 'DISEASE')",1
"('bowel obstruction', 'DISEASE')",4
"('extra-hepatic biliary dilatation', 'DISEASE')",1
"('hydroureteronephrosis', 'DISEASE')",1
"('Sepsis', 'DISEASE')",6
"('lactate', 'CHEMICAL')",6
"('ethanol', 'CHEMICAL')",2
"('Abdominal pain', 'DISEASE')",2
"('methadone', 'CHEMICAL')",8
"('volume overload', 'DISEASE')",5
"('ground-glass opacities', 'DISEASE')",1
"('Pneumonitis', 'DISEASE')",1
"('Beta-glucan', 'CHEMICAL')",1
"('Etiology of infiltrates', 'DISEASE')",1
"('medication-induced lung toxicity', 'DISEASE')",1
"('Urosepsis', 'DISEASE')",3
"('urinary complaints', 'DISEASE')",1
"('Hyoscyamine', 'CHEMICAL')",2
"('bladder spasm pain', 'DISEASE')",1
"('inflammation', 'DISEASE')",7
"('myelodysplasia', 'DISEASE')",1
"('Hemolysis', 'DISEASE')",2
"('cancer', 'DISEASE')",13
"('urinoma', 'DISEASE')",1
"('alprazolam', 'CHEMICAL')",2
"('fluoxetine', 'CHEMICAL')",4
"('Osteoporosis', 'DISEASE')",5
"('vitamin D', 'CHEMICAL')",4
"('calcium', 'CHEMICAL')",8
"('QHS', 'CHEMICAL')",12
"('ergocalciferol', 'CHEMICAL')",1
"('vitamin D2', 'CHEMICAL')",1
"('fexofenadine', 'CHEMICAL')",2
"('QID', 'CHEMICAL')",40
"('pilocarpine HCl', 'CHEMICAL')",1
"('Q4H', 'CHEMICAL')",37
"('Pyridium', 'CHEMICAL')",1
"('Vitamin B-12', 'CHEMICAL')",1
"('darifenacin', 'CHEMICAL')",1
"('hyoscyamine sulfate', 'CHEMICAL')",2
"('bladder spasm', 'DISEASE')",3
"('zolmitriptan', 'CHEMICAL')",1
"('headache', 'DISEASE')",16
"('calcium carbonate', 'CHEMICAL')",5
"('Ethanol', 'CHEMICAL')",1
"('acetaminophen', 'CHEMICAL')",8
"('lorazepam', 'CHEMICAL')",3
"('cholecalciferol', 'CHEMICAL')",5
"('vitamin D3', 'CHEMICAL')",4
"('Salagen', 'CHEMICAL')",1
"('ethyl alcohol', 'CHEMICAL')",1
"('hydromorphone', 'CHEMICAL')",1
"('pulmonary infiltrates', 'DISEASE')",1
"('shortness of\nbreath', 'DISEASE')",9
"('urinary tract infection', 'DISEASE')",6
"('Oxycodone', 'CHEMICAL')",12
"('Hyocyamine', 'CHEMICAL')",1
"('Clotrimazole', 'CHEMICAL')",2
"('DKA', 'DISEASE')",14
"('diabetes, charcot', 'DISEASE')",2
"('non-bilious', 'DISEASE')",2
"('fatigue', 'DISEASE')",16
"('cellulitis', 'DISEASE')",5
"('lantus', 'CHEMICAL')",4
"('ketones', 'CHEMICAL')",2
"('Diabetic Ketoacidosis', 'DISEASE')",6
"('osteolysis', 'DISEASE')",4
"('Mellitus Type 2\n-Bilateral', 'DISEASE')",1
"('Charcot', 'DISEASE')",2
"('-History', 'DISEASE')",2
"('right foot ulcer', 'DISEASE')",1
"('type II Diabetes Mellitus', 'DISEASE')",1
"('Normocephalic', 'DISEASE')",1
"('proptosis', 'DISEASE')",1
"('nonerythematous', 'DISEASE')",1
"('l-spine tenderness', 'DISEASE')",1
"('CTAB', 'CHEMICAL')",15
"('rhonchi', 'DISEASE')",2
"('hernias', 'DISEASE')",2
"('ulceration', 'DISEASE')",1
"('hallucinations', 'DISEASE')",1
