Entity,Label,Count
"('STATUS', 'ENTITY')",6
"('AT TIME', 'ENTITY')",1
"('CORONARY CARE UNIT', 'ENTITY')",1
"('Heparin', 'ENTITY')",21
"('units', 'ENTITY')",34
"('subcutaneous', 'ENTITY')",3
"('Regular insulin sliding scale', 'ENTITY')",3
"('discontinued', 'ENTITY')",39
"('DIAGNOSES AT THE TIME', 'ENTITY')",1
"('CORONARY\nCARE UNIT', 'ENTITY')",1
"('M.D.  [**MD Number(1', 'ENTITY')",11
"('Dictated', 'ENTITY')",4
"('JOB', 'ENTITY')",12
"('Birth', 'ENTITY')",1
"('medical\nhistory', 'ENTITY')",2
"('coronary artery bypass grafting', 'ENTITY')",2
"('myocardial infarctions', 'ENTITY')",1
"('ischemic cardiomyopathy', 'ENTITY')",2
"('patient\n', 'ENTITY')",38
"('episodes', 'ENTITY')",20
"('tachycardia', 'ENTITY')",9
"('hospital', 'ENTITY')",59
"('CCU', 'ENTITY')",14
"('medical management', 'ENTITY')",5
"('diuresis', 'ENTITY')",21
"('treatment', 'ENTITY')",32
"('discharge', 'ENTITY')",118
"('rehabilitation', 'ENTITY')",7
"('hospitalization', 'ENTITY')",53
"('medical floor', 'ENTITY')",3
"('preadmission medications', 'ENTITY')",1
"('acute issue', 'ENTITY')",1
"('shortness', 'ENTITY')",61
"('pulmonary edema', 'ENTITY')",14
"('blood pressure\n', 'ENTITY')",2
"('occasion', 'ENTITY')",3
"('asymptomatic', 'ENTITY')",7
"('spontaneously', 'ENTITY')",4
"('fevers', 'ENTITY')",40
"('blood\n', 'ENTITY')",8
"('Levofloxacin', 'ENTITY')",20
"('Metronidazole', 'ENTITY')",3
"('hospital floor', 'ENTITY')",1
"('bloody\nstool', 'ENTITY')",2
"('Hematocrit', 'ENTITY')",3
"(""patient's"", 'ENTITY')",87
"('family', 'ENTITY')",32
"('bloody stools', 'ENTITY')",3
"('years', 'ENTITY')",42
"('exacerbations', 'ENTITY')",2
"('evidence', 'ENTITY')",46
"('proctitis', 'ENTITY')",2
"('thickening', 'ENTITY')",7
"('bowel wall', 'ENTITY')",2
"('CT', 'ENTITY')",73
"('abnormally', 'ENTITY')",1
"('thickened', 'ENTITY')",31
"('worrisome\ngallbladder', 'ENTITY')",1
"('Gastroenterology', 'ENTITY')",3
"('liver/gallbladder ultrasound', 'ENTITY')",1
"('cholelithiasis', 'ENTITY')",2
"('adenomyomatosis', 'ENTITY')",1
"('benign\n', 'ENTITY')",1
"('follow up', 'ENTITY')",60
"('age', 'ENTITY')",21
"('presentation', 'ENTITY')",18
"('late\nonset', 'ENTITY')",1
"('ulcerative colitis', 'ENTITY')",2
"('occasional', 'ENTITY')",4
"('flexible', 'ENTITY')",1
"('sigmoidoscopy', 'ENTITY')",1
"('non-bleeding rectal ulcers', 'ENTITY')",1
"('appearance', 'ENTITY')",15
"('Biopsies\n', 'ENTITY')",1
"('results', 'ENTITY')",17
"('pending', 'ENTITY')",7
"('pain', 'ENTITY')",88
"('hematocrit', 'ENTITY')",31
"('steroids', 'ENTITY')",20
"('enemas\n', 'ENTITY')",2
"('issues', 'ENTITY')",3
"('hematocrit\n', 'ENTITY')",4
"('diet', 'ENTITY')",9
"('good condition', 'ENTITY')",4
"('long term', 'ENTITY')",4
"('DIAGNOSES', 'ENTITY')",8
"('Pulmonary edema', 'ENTITY')",1
"('Hypercholesterolemia', 'ENTITY')",4
"('Hypertension', 'ENTITY')",18
"('Ulcerative colitis', 'ENTITY')",3
"('Adenomyomatosis', 'ENTITY')",1
"('Saturday', 'ENTITY')",3
"('Sunday', 'ENTITY')",3
"('Tylenol', 'ENTITY')",9
"('Dinitrate', 'ENTITY')",1
"('Furosemide', 'ENTITY')",21
"('systolic blood\npressure', 'ENTITY')",1
"('cream', 'ENTITY')",3
"('buttock', 'ENTITY')",1
"('follow up with', 'ENTITY')",11
"('discharged', 'ENTITY')",42
"('MEDQUIST36', 'ENTITY')",5
"('Name3', 'ENTITY')",70
"('LF', 'ENTITY')",81
"('Altered mental status', 'ENTITY')",3
"('Surgical', 'ENTITY')",66
"('Invasive Procedure', 'ENTITY')",67
"('endotracheal intubation\n[**2160-12-7**]', 'ENTITY')",1
"('femoral central venous catheter', 'ENTITY')",2
"('46F xfer', 'ENTITY')",1
"('OSH', 'ENTITY')",82
"('VNA', 'ENTITY')",5
"('hosp admission', 'ENTITY')",1
"('UTI', 'ENTITY')",17
"('Klebsiella PNA\n', 'ENTITY')",1
"('antibiotics', 'ENTITY')",43
"('discharged home', 'ENTITY')",2
"('History', 'ENTITY')",8
"('reports', 'ENTITY')",27
"('liver transplant', 'ENTITY')",1
"('rheumatoid arthritis', 'ENTITY')",1
"('ankylosing spondylitis', 'ENTITY')",5
"('Florinef', 'ENTITY')",1
"('Outside hospital', 'ENTITY')",2
"('unresponsiveness', 'ENTITY')",3
"('vancomycin', 'ENTITY')",25
"('Zosyn', 'ENTITY')",11
"('left hip dislocation', 'ENTITY')",1
"('reduced', 'ENTITY')",9
"('ER', 'ENTITY')",11
"('Hypotensive', 'ENTITY')",2
"('norepinephrine', 'ENTITY')",2
"('Transferred', 'ENTITY')",1
"('PH', 'ENTITY')",1
"('CO2', 'ENTITY')",40
"('bicarbonate\n', 'ENTITY')",1
"('ABG', 'ENTITY')",6
"('outside hospital', 'ENTITY')",2
"('attempted right', 'ENTITY')",1
"('subcutaneous fluid', 'ENTITY')",1
"('extravasation', 'ENTITY')",2
"('ED', 'ENTITY')",108
"('initial', 'ENTITY')",1
"('vitals', 'ENTITY')",5
"('hydrocortisone', 'ENTITY')",2
"('IV\n', 'ENTITY')",6
"('chronically', 'ENTITY')",4
"('florinef', 'ENTITY')",1
"('right femoral CVL\n', 'ENTITY')",1
"('CT head', 'ENTITY')",3
"('CT torso', 'ENTITY')",1
"('bilateral aspiration\n', 'ENTITY')",1
"('effusions', 'ENTITY')",6
"('Her hip', 'ENTITY')",1
"('MICU', 'ENTITY')",68
"('AC', 'ENTITY')",5
"('volume', 'ENTITY')",10
"('systems', 'ENTITY')",19
"('hepatic failure', 'ENTITY')",1
"('pressors', 'ENTITY')",5
"('clean ulcer', 'ENTITY')",1
"('prepyloric', 'ENTITY')",1
"('EGD', 'ENTITY')",43
"('GIB', 'ENTITY')",16
"('bleed', 'ENTITY')",11
"('transfusion 4U', 'ENTITY')",1
"('pRBCs', 'ENTITY')",4
"('Psychiatric disorder', 'ENTITY')",1
"('anxiety', 'ENTITY')",22
"('bipolar', 'ENTITY')",1
"(""Crohn's disease"", 'ENTITY')",1
"('Long term alcoholism\nh/o Hep A\n', 'ENTITY')",1
"('Distal ileum resection', 'ENTITY')",1
"('L hip replacement [**2156**]', 'ENTITY')",1
"('c/b osteomyelitis\nback/knee surgeries', 'ENTITY')",1
"('Social History', 'ENTITY')",68
"('apt', 'ENTITY')",1
"('herself', 'ENTITY')",3
"('relationship', 'ENTITY')",6
"('case worker', 'ENTITY')",1
"('domestic violence\n', 'ENTITY')",1
"('living', 'ENTITY')",3
"('domestic violence shelter', 'ENTITY')",1
"('year', 'ENTITY')",15
"('divorced', 'ENTITY')",1
"('ex-husband', 'ENTITY')",1
"('son', 'ENTITY')",3
"('HCP', 'ENTITY')",7
"('Family History', 'ENTITY')",64
"('Father', 'ENTITY')",2
"('colitis', 'ENTITY')",4
"('frequent', 'ENTITY')",7
"('stomach pain', 'ENTITY')",1
"('Mother', 'ENTITY')",7
"('RA', 'ENTITY')",40
"('Grandmother', 'ENTITY')",1
"('Vitals', 'ENTITY')",24
"('BP', 'ENTITY')",51
"('R', 'ENTITY')",14
"('O2', 'ENTITY')",40
"('FiO2', 'ENTITY')",18
"('General', 'ENTITY')",17
"('sedated\nHEENT', 'ENTITY')",1
"('Sclera anicteric', 'ENTITY')",19
"('MMM', 'ENTITY')",23
"('pupils fixed', 'ENTITY')",1
"('non-reactive\nNeck', 'ENTITY')",1
"('subcutaneous infiltration', 'ENTITY')",1
"('saline', 'ENTITY')",5
"('LAD\n', 'ENTITY')",2
"('JVP\nCV', 'ENTITY')",1
"('normal S1 + S2', 'ENTITY')",13
"('no murmurs', 'ENTITY')",18
"('rubs', 'ENTITY')",23
"('gallops\nLungs', 'ENTITY')",3
"('auscultation', 'ENTITY')",21
"('bilaterally', 'ENTITY')",77
"('no wheezes', 'ENTITY')",14
"('Abdomen', 'ENTITY')",27
"('soft', 'ENTITY')",40
"('non-tender', 'ENTITY')",14
"('no organomegaly\nGU', 'ENTITY')",4
"('foley draining', 'ENTITY')",1
"('yellow urine\n', 'ENTITY')",1
"('thready pulses', 'ENTITY')",1
"('cyanosis', 'ENTITY')",23
"('left\n', 'ENTITY')",17
"('chronic ulceration\n\n[**Telephone/Fax', 'ENTITY')",1
"('WDWN', 'ENTITY')",4
"('acute distress', 'ENTITY')",9
"('HEENT', 'ENTITY')",42
"('oropharynx clear\nNeck', 'ENTITY')",7
"('no lymphadenopathy', 'ENTITY')",2
"('RRR', 'ENTITY')",25
"('no organomegaly', 'ENTITY')",3
"('right\nhip', 'ENTITY')",1
"('small subcentimeter', 'ENTITY')",1
"('wound with', 'ENTITY')",1
"('serous drainage', 'ENTITY')",1
"('left', 'ENTITY')",23
"('hand with', 'ENTITY')",1
"('erythema', 'ENTITY')",16
"('PIV', 'ENTITY')",3
"('pink granulation tissue', 'ENTITY')",1
"('improved', 'ENTITY')",66
"('left hip', 'ENTITY')",3
"('swelling', 'ENTITY')",14
"('tender', 'ENTITY')",4
"('palpation', 'ENTITY')",12
"('ambulate', 'ENTITY')",6
"('Skin', 'ENTITY')",11
"('macules', 'ENTITY')",1
"('right leg', 'ENTITY')",4
"('lower', 'ENTITY')",2
"('central\nclearing', 'ENTITY')",1
"('Neuro', 'ENTITY')",24
"('moving', 'ENTITY')",9
"('extremities', 'ENTITY')",9
"('Pertinent Results', 'ENTITY')",59
"('LABS', 'ENTITY')",15
"('WBC-17.4* RBC-4.27 Hgb-11.5* Hct-38.5\nMCV-90 MCH-27.0 MCHC-29.9* RDW-15.0', 'ENTITY')",1
"('11:20PM BLOOD Neuts-95.2* Lymphs-3.3* Monos-1.4*', 'ENTITY')",1
"('PTT-36.0 INR(PT)-1.1\n[**2160', 'ENTITY')",1
"('Creat-2.2* Na-141\nK-4.2 Cl-107', 'ENTITY')",1
"('HCO3', 'ENTITY')",90
"('* AnGap-24*\n[**2160-12-6**] 11:20PM BLOOD ALT-156*', 'ENTITY')",1
"('Calcium-6.7* Phos-7.4* Mg-2.4\n[**2160-12-6**] 11:20PM BLOOD Osmolal-314*\n[**2160-12-6**] 11:20PM BLOOD ASA-NEG Ethanol-NEG Acetmnp-NEG\nBnzodzp-POS Barbitr-NEG Tricycl-POS\n[**2160-12-7**] 04:50AM', 'ENTITY')",1
"('Type-ART', 'ENTITY')",14
"('Rates-18/ Tidal V-450', 'ENTITY')",2
"('PEEP-5', 'ENTITY')",7
"('pO2', 'ENTITY')",26
"('pCO2', 'ENTITY')",28
"('pH-7.09*', 'ENTITY')",2
"('BLOOD', 'ENTITY')",230
"('Temp-38.0', 'ENTITY')",1
"('Tidal V-450', 'ENTITY')",2
"('pH-7.21* calTCO2-18* Base XS--10\nIntubat-INTUBATED Vent-CONTROLLED\n[**2160', 'ENTITY')",1
"('Temp-38.2', 'ENTITY')",1
"('PEEP-10', 'ENTITY')",1
"('* pH-7.20* calTCO2', 'ENTITY')",1
"('Base XS--9\n', 'ENTITY')",1
"('Intubat-INTUBATED\n[**2160', 'ENTITY')",1
"('Type-CENTRAL VE', 'ENTITY')",1
"('Temp-37.2', 'ENTITY')",1
"('calTCO2-20* Base XS--5 -ASSIST/CON\nIntubat-INTUBATED', 'ENTITY')",1
"('Comment-GREEN TOP\n[**2160-12-8**] 09:44AM', 'ENTITY')",1
"('BLOOD Type-ART', 'ENTITY')",3
"('Tidal V-500', 'ENTITY')",2
"('PEEP-8', 'ENTITY')",1
"('pH-7.36', 'ENTITY')",1
"('Base XS--2\nIntubat-INTUBATED\n', 'ENTITY')",1
"('Plt Ct-448*\n[**2160-12', 'ENTITY')",1
"('AnGap-10\n[**2160-12-16**] 03:42AM BLOOD', 'ENTITY')",1
"('AST-23\n[**2160-12-21**]', 'ENTITY')",1
"('Phos-3.7 Mg-1.5*\n', 'ENTITY')",1
"('URINE', 'ENTITY')",4
"('11:25PM', 'ENTITY')",5
"('Color-LtAmb Appear-Hazy Sp', 'ENTITY')",1
"('Protein-100\nGlucose-NEG Ketone-10 Bilirub-NEG Urobiln-NEG pH-5.5 Leuks-TR\n[**2160-12-6**]', 'ENTITY')",1
"('URINE UCG-NEGATIVE\n[**2160-12-6**]', 'ENTITY')",1
"('URINE bnzodzp-POS barbitr-NEG opiates-POS\ncocaine-POS', 'ENTITY')",1
"('MICRO', 'ENTITY')",6
"('NGTD\n[**2160-12-7**]', 'ENTITY')",1
"('SPUTUM     Site', 'ENTITY')",1
"('ENDOTRACHEAL', 'ENTITY')",1
"('Source', 'ENTITY')",1
"('Endotracheal', 'ENTITY')",2
"('STAIN', 'ENTITY')",7
"('PMNs', 'ENTITY')",3
"('epithelial cells/100X', 'ENTITY')",3
"('FIELD', 'ENTITY')",7
"('NEGATIVE', 'ENTITY')",3
"('ROD(S', 'ENTITY')",4
"('COCCI', 'ENTITY')",2
"('IN PAIRS', 'ENTITY')",2
"('CHAINS', 'ENTITY')",1
"('CLUSTERS', 'ENTITY')",2
"('SMEAR REVIEWED', 'ENTITY')",3
"('CONFIRMED', 'ENTITY')",3
"('RESPIRATORY CULTURE', 'ENTITY')",1
"('Preliminary', 'ENTITY')",4
"('SPARSE', 'ENTITY')",5
"('GROWTH', 'ENTITY')",23
"('Commensal', 'ENTITY')",1
"('Respiratory Flora', 'ENTITY')",1
"('STAPH', 'ENTITY')",5
"('AUREUS COAG +', 'ENTITY')",2
"('HEAVY', 'ENTITY')",2
"('BETA', 'ENTITY')",2
"('STREPTOCOCCI', 'ENTITY')",1
"('GROUP', 'ENTITY')",1
"('MODERATE', 'ENTITY')",1
"('Blood Culture', 'ENTITY')",8
"('Routine', 'ENTITY')",3
"('NO', 'ENTITY')",31
"('YEAST', 'ENTITY')",4
"('Stool Studies', 'ENTITY')",1
"('FECAL', 'ENTITY')",4
"('SALMONELLA', 'ENTITY')",4
"('SHIGELLA\n', 'ENTITY')",2
"('FOUND', 'ENTITY')",10
"('CAMPYLOBACTER', 'ENTITY')",6
"('CULTURE', 'ENTITY')",5
"('OVA', 'ENTITY')",6
"('PARASITES', 'ENTITY')",6
"('SEEN', 'ENTITY')",9
"('R/O', 'ENTITY')",3
"('VIBRIO', 'ENTITY')",2
"('YERSINIA', 'ENTITY')",1
"('NO YERSINIA', 'ENTITY')",2
"('CLOSTRIDIUM', 'ENTITY')",6
"('DIFFICILE', 'ENTITY')",6
"('Feces negative', 'ENTITY')",2
"('C.difficile toxin A', 'ENTITY')",2
"('EIA', 'ENTITY')",5
"('C. difficile', 'ENTITY')",2
"('Toxin PCR', 'ENTITY')",1
"('Negative\n', 'ENTITY')",1
"('C/A/P', 'ENTITY')",1
"('TECHNIQUE', 'ENTITY')",8
"('MDCT', 'ENTITY')",6
"('axial images', 'ENTITY')",6
"('chest', 'ENTITY')",26
"('pelvis', 'ENTITY')",13
"('administration', 'ENTITY')",5
"('IV\ncontrast', 'ENTITY')",1
"('Multiplanar reformats', 'ENTITY')",2
"('reviewed', 'ENTITY')",14
"('Right pleural effusion', 'ENTITY')",2
"('adjacent', 'ENTITY')",12
"('compressive\natelectasis', 'ENTITY')",2
"('Left base opacification', 'ENTITY')",1
"('airless', 'ENTITY')",2
"('filled', 'ENTITY')",4
"('blood', 'ENTITY')",39
"('nasogastric\ntube', 'ENTITY')",1
"('stomach', 'ENTITY')",16
"('ETT tube', 'ENTITY')",1
"('approximately', 'ENTITY')",3
"('carina', 'ENTITY')",2
"('visualized heart', 'ENTITY')",1
"('pericardium', 'ENTITY')",2
"('PELVIS', 'ENTITY')",3
"('vasculature\n', 'ENTITY')",1
"('solid organs', 'ENTITY')",1
"('evaluated', 'ENTITY')",21
"('absence', 'ENTITY')",7
"('limitation', 'ENTITY')",2
"('liver', 'ENTITY')",12
"('bilateral adrenal glands', 'ENTITY')",1
"('splenomegaly', 'ENTITY')",3
"('kidneys', 'ENTITY')",9
"('non-obstructive', 'ENTITY')",4
"('stone', 'ENTITY')",2
"('left kidney', 'ENTITY')",2
"('Small stones', 'ENTITY')",1
"('right kidney', 'ENTITY')",2
"('Surgical sutures', 'ENTITY')",1
"('RLQ', 'ENTITY')",7
"('small bowel', 'ENTITY')",4
"('free fluid', 'ENTITY')",8
"('Retroperitoneal', 'ENTITY')",1
"('mesenteric\nlymph nodes', 'ENTITY')",1
"('criteria', 'ENTITY')",1
"('pathologic\nenlargement', 'ENTITY')",1
"('structures', 'ENTITY')",3
"('presence', 'ENTITY')",7
"('streak artifact', 'ENTITY')",2
"('bilateral', 'ENTITY')",45
"('total hip\n', 'ENTITY')",1
"('replacements', 'ENTITY')",1
"('status', 'ENTITY')",14
"('Foley catheter', 'ENTITY')",4
"('right femoral vein', 'ENTITY')",1
"('rectal catheter', 'ENTITY')",1
"('Bilateral hip prosthesis', 'ENTITY')",1
"('right femoral component', 'ENTITY')",1
"('seated', 'ENTITY')",4
"('acetabular component', 'ENTITY')",2
"('left femoral component', 'ENTITY')",1
"('left acetabular component', 'ENTITY')",1
"('Decrease', 'ENTITY')",2
"('vertebral body height', 'ENTITY')",2
"('L1', 'ENTITY')",2
"('vertebral body', 'ENTITY')",4
"('retropulsion', 'ENTITY')",1
"('fragment', 'ENTITY')",1
"('spinal canal', 'ENTITY')",4
"('thecal sac', 'ENTITY')",1
"('chronicity', 'ENTITY')",4
"('chronic process', 'ENTITY')",1
"('looks', 'ENTITY')",1
"('kyphoplasty material', 'ENTITY')",1
"('L1\n', 'ENTITY')",1
"('Intra-[**Month/Day', 'ENTITY')",1
"('vasculature', 'ENTITY')",2
"('contrast technique', 'ENTITY')",1
"('IMPRESSION', 'ENTITY')",26
"('compressive atelectasis', 'ENTITY')",2
"('Left base\n', 'ENTITY')",1
"('collapsed', 'ENTITY')",1
"('density material', 'ENTITY')",1
"('Left lower pole renal calculus', 'ENTITY')",1
"('evaluation', 'ENTITY')",47
"('Left total hip arthroplasty', 'ENTITY')",1
"('prosthesis', 'ENTITY')",2
"('femoral\ncomponent', 'ENTITY')",2
"('Loss', 'ENTITY')",1
"('fragments', 'ENTITY')",2
"('chronic', 'ENTITY')",18
"('kyphoplastic material', 'ENTITY')",1
"('HEAD', 'ENTITY')",1
"('Contiguous', 'ENTITY')",2
"('IV contrast', 'ENTITY')",2
"('acute fracture', 'ENTITY')",2
"('traumatic dislocation', 'ENTITY')",1
"('Bilateral\n', 'ENTITY')",1
"('mastoid', 'ENTITY')",2
"('air cells', 'ENTITY')",1
"('Minimal', 'ENTITY')",2
"('mucosal thickening', 'ENTITY')",1
"('acute', 'ENTITY')",24
"('intracranial hemorrhage', 'ENTITY')",3
"('discrete', 'ENTITY')",1
"('mass effect', 'ENTITY')",2
"('shift', 'ENTITY')",3
"('midline structures', 'ENTITY')",3
"('sulci', 'ENTITY')",3
"('size', 'ENTITY')",16
"('configuration', 'ENTITY')",2
"('matter differentiation', 'ENTITY')",1
"('acute major', 'ENTITY')",1
"('vascular territory infarction', 'ENTITY')",1
"('intracranial', 'ENTITY')",3
"('pathological process', 'ENTITY')",1
"('REVIEW', 'ENTITY')",3
"('anterior rotation\n', 'ENTITY')",1
"('body\nof C2', 'ENTITY')",1
"('finding', 'ENTITY')",14
"('fracture/subluxation deformity', 'ENTITY')",1
"('central canal', 'ENTITY')",1
"('narrowing', 'ENTITY')",2
"('level', 'ENTITY')",34
"('soft tissue', 'ENTITY')",3
"('locale', 'ENTITY')",1
"('prior', 'ENTITY')",29
"('resolved', 'ENTITY')",41
"('records/imaging studies', 'ENTITY')",1
"('spinal CT imaging', 'ENTITY')",1
"('stabilized', 'ENTITY')",11
"('CSPINE', 'ENTITY')",1
"('COMPARISON', 'ENTITY')",6
"('C-spine radiograph', 'ENTITY')",1
"('Helical 2.5-mm', 'ENTITY')",1
"('axial', 'ENTITY')",2
"('sections', 'ENTITY')",1
"('skull\nbase', 'ENTITY')",1
"('T2', 'ENTITY')",3
"('Sagittal', 'ENTITY')",1
"('coronal reformations\n', 'ENTITY')",1
"('FINDINGS', 'ENTITY')",14
"('mass', 'ENTITY')",14
"('bone formation', 'ENTITY')",1
"('C1', 'ENTITY')",5
"('C2', 'ENTITY')",3
"('vertebral bodies', 'ENTITY')",3
"('subluxation', 'ENTITY')",5
"('C2(400b:27', 'ENTITY')",1
"('severe', 'ENTITY')",56
"('encroachment', 'ENTITY')",2
"('degree', 'ENTITY')",5
"('unchanged', 'ENTITY')",23
"('study', 'ENTITY')",27
"('identified', 'ENTITY')",20
"('fusion', 'ENTITY')",2
"('facet joint', 'ENTITY')",1
"('T3', 'ENTITY')",2
"('levels', 'ENTITY')",6
"('imaged', 'ENTITY')",3
"('interbody fusion\n', 'ENTITY')",1
"('cervical level', 'ENTITY')",1
"('surgical anterior\nfusion', 'ENTITY')",1
"('C6', 'ENTITY')",2
"('lamina', 'ENTITY')",1
"('interlaminar ligaments', 'ENTITY')",1
"('visualized levels', 'ENTITY')",1
"('portion', 'ENTITY')",5
"('thoracic spine', 'ENTITY')",4
